Sample-ID	Sample	Lineage	Phase	Development	Development_Phase	Dispersal	Dispersal_Phase	weight_mg	Specials	parental_Productivity	success_rate	Sample_or_Control
B24-35	B24-35	B24	phase1	medium	medium1	late	late1	50	normal	medium	high	True Sample
B26-05	B26-05	B26	phase1	medium	medium1	early	early1	<10	white_fungus	low	average	True Sample
B26-11	B26-11	B26	phase1	medium	medium1	middle	middle1	50	normal	low	average	True Sample
B31-02	B31-02	B31	phase1	medium	medium1	early	early1	30	normal	low	high	True Sample
medium1	medium1	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
mock1	mock1	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
negative1	negative1	NA	neg	control2	control2	control2	control2	NA	normal	control	control	Control Sample
B31-13	B31-13	B31	phase1	slow	slow1	early	early1	70	normal	low	high	True Sample
B31-16	B31-16	B31	phase1	slow	slow1	middle	middle1	120	white_fungus_Yersinia	low	high	True Sample
B36-04	B36-04	B36	phase1	medium	medium1	early	early1	30	normal	medium	high	True Sample
B36-08	B36-08	B36	phase1	medium	medium1	early	early1	30	normal	medium	high	True Sample
B36-12	B36-12	B36	phase1	slow	slow1	middle 	middle1 	60	normal	medium	high	True Sample
B36-38	B36-38	B36	phase1	fast	fast1	late	late1	80	normal	medium	high	True Sample
B39-01	B39-01	B39	phase1	medium	medium1	early	early1	60	normal	medium	average	True Sample
B39-06	B39-06	B39	phase1	medium	medium1	middle	middle1	<10	normal	medium	average	True Sample
B39-20	B39-20	B39	phase1	slow	slow1	late	late1	80	normal	medium	average	True Sample
B39-30	B39-30	B39	phase1	medium	medium1	late	late1	60	normal	medium	average	True Sample
B44-02	B44-02	B44	phase1	medium	medium1	early	early1	50	high_Wolbachia	high	average	True Sample
B44-10	B44-10	B44	phase1	slow	slow1	early	early1	130	normal	high	average	True Sample
B44-26	B44-26	B44	phase1	medium	medium1	middle	middle1	110	normal	high	average	True Sample
B44-34	B44-34	B44	phase1	medium	medium1	middle	middle1	50	normal	high	average	True Sample
B44-44	B44-44	B44	phase1	fast	fast1	late	late1	100	low_Wolbachia	high	average	True Sample
B46-01	B46-01	B46	phase1	slow	slow1	early	early1	50	white_fungus	low	average	True Sample
B46-08	B46-08	B46	phase1	slow	slow1	middle	middle1	50	white_fungus	low	average	True Sample
B46-12	B46-12	B46	phase1	medium	medium1	middle	middle1	50	normal	low	average	True Sample
B46-13	B46-13	B46	phase1	slow	slow1	middle	middle1	30	white_fungus	low	average	True Sample
B46-20	B46-20	B46	phase1	slow	slow1	late	late1	180	white_fungus	low	average	True Sample
B49-08	B49-08	B49	phase1	medium	medium1	middle	middle1	40	low_Wolbachia	medium	average	True Sample
medium2	medium2	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
standard1	standard1	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
negative2	negative2	NA	neg	control2	control2	control2	control2	NA	normal	control	control	Control Sample
B49-20	B49-20	B49	phase1	medium	medium1	middle	middle1	80	normal	medium	average	True Sample
B56-02	B56-02	B56	phase1	medium	medium1	early	early1	30	normal	high	average	True Sample
B56-15	B56-15	B56	phase1	fast	fast1	middle	middle1	60	normal	high	average	True Sample
B56-45	B56-45	B56	phase1	medium	medium1	late	late1	60	white_fungus	high	average	True Sample
B56-59	B56-59	B56	phase1	medium	medium1	late 	late1 	60	normal	high	average	True Sample
A2-02	A2-02	A2	phase3	fast	fast3	early	early3	80	normal	medium	average	True Sample
A2-12	A2-12	A2	phase3	medium	medium3	early	early3	100	normal	medium	average	True Sample
A2-19	A2-19	A2	phase3	slow	slow3	middle	middle3	100	low_Wolbachia	medium	average	True Sample
A2-24	A2-24	A2	phase3	fast	fast3	middle	middle3	90	normal	medium	average	True Sample
A3-10	A3-10	A3	phase3	slow	slow3	early	early3	80	Yersinia	high	average	True Sample
A3-17	A3-17	A3	phase3	medium	medium3	early	early3	120	weird	high	average	True Sample
A3-24	A3-24	A3	phase3	fast	fast3	early	early3	150	weird	high	average	True Sample
A3-25	A3-25	A3	phase3	medium	medium3	early	early3	80	normal	high	average	True Sample
A3-26	A3-26	A3	phase3	slow	slow3	middle	middle3	140	high_Wolbachia	high	average	True Sample
B10-16	B10-16	B10	phase3	fast	fast3	early	early3	140	normal	medium	high	True Sample
B10-29	B10-29	B10	phase3	slow	slow3	late	late3	160	high_Wolbachia	medium	high	True Sample
B10-30	B10-30	B10	phase3	medium	medium3	late	late3	110	normal	medium	high	True Sample
B15-05	B15-05	B15	phase3	slow	slow3	early	early3	100	2nd-attempt	high	high	True Sample
B15-08	B15-08	B15	phase3	slow	slow3	early 	early3 	150	medium_Wolbachia_Yersinia	high	high	True Sample
B15-27	B15-27	B15	phase3	medium	medium3	middle	middle3	70	2nd-attempt	high	high	True Sample
B15-34	B15-34	B15	phase3	slow	slow3	middle	middle3	50	2nd-attempt_Yersinia	high	high	True Sample
medium3	medium3	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
mock2	mock2	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
negative3	negative3	NA	neg	control2	control2	control2	control2	NA	normal	control	control	Control Sample
B15-35	B15-35	B15	phase3	medium	medium3	middle	middle3	90	normal	high	high	True Sample
B15-43	B15-43	B15	phase3	slow	slow3	late	late3	100	normal	high	high	True Sample
B22-08	B22-08	B22	phase3	medium	medium3	early	early3	100	normal	low	average	True Sample
B22-09	B22-09	B22	phase3	fast	fast3	early	early3	40	nematodes	low	average	True Sample
B23-05	B23-05	B23	phase3	medium	medium3	early	early3	70	normal	high	average	True Sample
B23-12	B23-12	B23	phase3	fast	fast3	early	early3	60	normal	high	average	True Sample
B23-32	B23-32	B23	phase3	medium	medium3	middle	middle3	60	Yersinia	high	average	True Sample
B24-04	B24-04	B24	phase3	slow	slow3	middle 	middle3 	80	normal	medium	high	True Sample
B24-12	B24-12	B24	phase3	fast	fast3	late	late3	110	normal	medium	high	True Sample
B24-25	B24-25	B24	phase3	medium	medium3	late	late3	100	normal	medium	high	True Sample
B24-34	B24-34	B24	phase3	fast	fast3	late	late3	140	normal	medium	high	True Sample
B26-04	B26-04	B26	phase3	slow	slow3	early	early3	90	white_fungus	low	average	True Sample
B31-12	B31-12	B32	phase3	slow	slow3	early	early3	50	white_fungus	low	high	True Sample
B32-10	B32-10	B32	phase3	slow	slow3	middle	middle3	50	white_fungus	medium	low	True Sample
B33-03	B33-03	B33	phase3	medium	medium3	late	late3	90	nematodes	low	low	True Sample
B36-02	B36-02	B36	phase3	medium	medium3	early	early3	80	normal	medium	high	True Sample
B36-21	B36-21	B36	phase3	fast	fast3	late	late3	70	normal	medium	high	True Sample
B36-25	B36-25	B36	phase3	slow	slow3	late	late3	30	normal	medium	high	True Sample
B36-28	B36-28	B36	phase3	medium	medium3	late 	late3 	90	normal	medium	high	True Sample
B36-37	B36-37	B36	phase3	medium	medium3	late	late3	90	normal	medium	high	True Sample
B39-03	B39-03	B39	phase3	fast	fast3	early	early3	70	high_Wolbachia	medium	average	True Sample
medium4	medium4	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
standard2	standard2	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
negative4	negative4	NA	neg	control2	control2	control2	control2	NA	normal	control	control	Control Sample
B39-08	B39-08	B39	phase3	medium	medium3	middle	middle3	50	normal	medium	average	True Sample
B39-19	B39-19	B39	phase3	medium	medium3	late	late3	40	normal	medium	average	True Sample
B39-27	B39-27	B39	phase3	medium	medium3	late	late3	50	normal	medium	average	True Sample
B44-01	B44-01	B44	phase3	medium	medium3	early	early3	60	many_offspring_high_Wolbachia	high	average	True Sample
B44-27	B44-27	B44	phase3	fast	fast3	middle	middle3	50	normal	high	average	True Sample
B44-58	B44-58	B44	phase3	fast	fast3	late	late3	90	normal	high	average	True Sample
B46-14	B46-14	B46	phase3	medium	medium3	middle	middle3	90	normal	low	average	True Sample
B49-03	B49-03	B49	phase3	medium	medium3	early 	early3 	180	Yersinia	medium	average	True Sample
B49-11	B49-11	B49	phase3	fast	fast3	middle	middle3	40	normal	medium	average	True Sample
B49-12	B49-12	B49	phase3	slow	slow3	middle	middle3	30	normal	medium	average	True Sample
B49-15	B49-15	B49	phase3	fast	fast3	middle	middle3	80	normal	medium	average	True Sample
B56-06	B56-06	B56	phase3	fast	fast3	middle	middle3	30	normal	high	average	True Sample
B56-19	B56-19	B56	phase3	fast	fast3	middle	middle3	40	normal	high	average	True Sample
A2-03	A2-03	A2	phase2	medium	medium2	early	early2	160	normal	medium	average	True Sample
A2-16	A2-16	A2	phase2	medium	medium2	early	early2	50	normal	medium	average	True Sample
A2-27	A2-27	A2	phase2	medium	medium2	middle	middle2	90	normal	medium	average	True Sample
A3-01	A3-01	A3	phase2	medium	medium2	early	early2	80	normal	high	average	True Sample
A3-09	A3-09	A3	phase2	fast	fast2	early	early2	100	normal	high	average	True Sample
A3-15	A3-15	A3	phase2	medium	medium2	early	early2	30	normal	high	average	True Sample
A3-35	A3-35	A3	phase2	medium	medium2	middle	middle2	70	normal	high	average	True Sample
A3-39	A3-39	A3	phase2	slow	slow2	middle	middle2	100	normal	high	average	True Sample
medium5	medium5	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
mock12	mock12	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
negative5	negative5	NA	neg	control2	control2	control2	control2	NA	normal	control	control	Control Sample
B10-15	B10-15	B10	phase2	medium	medium2	early	early2	70	normal	medium	high	True Sample
B10-28	B10-28	B10	phase2	medium	medium2	late	late2	80	normal	medium	high	True Sample
B15-03	B15-03	B15	phase2	medium	medium2	early	early2	150	2nd-attempt	high	high	True Sample
B15-14	B15-14	B15	phase2	medium	medium2	early	early2	140	2nd-attempt	high	high	True Sample
B15-28	B15-28	B15	phase2	fast	fast2	middle	middle2	110	2nd-attempt	high	high	True Sample
B15-32	B15-32	B15	phase2	slow	slow2	middle	middle2	140	normal	high	high	True Sample
B16-33	B16-33	B16	phase2	slow	slow2	late	late2	<10	white_fungus	medium	average	True Sample
B22-03	B22-03	B22	phase2	medium	medium2	early	early2	80	normal	low	average	True Sample
B22-05	B22-05	B22	phase2	slow	slow2	early	early2	50	normal	low	average	True Sample
B22-13	B22-13	B22	phase2	slow	slow2	early	early2	90	nematodes	low	average	True Sample
B23-01	B23-01	B23	phase2	medium	medium2	early	early2	160	normal	high	average	True Sample
B23-14	B23-14	B23	phase2	fast	fast2	early	early2	90	normal	high	average	True Sample
B23-18	B23-18	B23	phase2	medium	medium2	early	early2	80	normal	high	average	True Sample
B23-28	B23-28	B23	phase2	fast	fast2	early	early2	50	normal	high	average	True Sample
B23-31	B23-31	B23	phase2	slow	slow2	middle	middle2	90	normal	high	average	True Sample
B24-05	B24-05	B24	phase2	fast	fast2	middle	middle2	110	normal	medium	high	True Sample
B24-16	B24-16	B24	phase2	fast	fast2	late	late2	100	normal	medium	high	True Sample
B24-17	B24-17	B24	phase2	medium	medium2	late	late2	80	normal	medium	high	True Sample
B24-24	B24-24	B24	phase2	medium	medium2	late	late2	100	normal	medium	high	True Sample
B26-03	B26-03	B26	phase2	slow	slow2	early	early2	40	white_fungus	low	average	True Sample
B31-03	B31-03	B31	phase2	slow	slow2	early	early2	60	white_fungus	low	high	True Sample
medium6	medium6	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
standard3	standard3	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
negative6	negative6	NA	neg	control2	control2	control2	control2	NA	normal	control	control	Control Sample
B31-05	B31-05	B31	phase2	slow	slow2	early	early2	60	white_fungus	low	high	True Sample
B31-08	B31-08	B31	phase2	slow	slow2	early	early2	160	white_fungus	low	high	True Sample
B36-01	B36-01	B36	phase2	fast	fast2	early	early2	110	normal	medium	high	True Sample
B36-05	B36-05	B36	phase2	medium	medium2	early	early2	120	normal	medium	high	True Sample
B36-11	B36-11	B36	phase2	medium	medium2	middle	middle2	150	normal	medium	high	True Sample
B36-26	B36-26	B36	phase2	fast	fast2	late	late2	120	normal	medium	high	True Sample
B36-39	B36-39	B36	phase2	fast	fast2	late	late2	50	normal	medium	high	True Sample
B39-09	B39-09	B39	phase2	medium	medium2	middle	middle2	70	normal	medium	average	True Sample
B39-21	B39-21	B39	phase2	medium	medium2	late	late2	80	normal	medium	average	True Sample
B39-22	B39-22	B39	phase2	slow	slow2	late	late2	60	normal	medium	average	True Sample
B39-28	B39-28	B39	phase2	medium	medium2	late	late2	100	normal	medium	average	True Sample
B44-04	B44-04	B44	phase2	fast	fast2	early	early2	50	normal	high	average	True Sample
B44-20	B44-20	B44	phase2	medium	medium2	early	early2	110	normal	high	average	True Sample
B44-37	B44-37	B44	phase2	medium	medium2	middle	middle2	70	normal	high	average	True Sample
B46-05	B46-05	B46	phase2	slow	slow2	middle	middle2	80	white_fungus	low	average	True Sample
B49-02	B49-02	B49	phase2	medium	medium2	early	early2	100	normal	medium	average	True Sample
B49-07	B49-07	B49	phase2	medium	medium2	middle	middle2	160	normal	medium	average	True Sample
B49-21	B49-21	B49	phase2	fast	fast2	middle	middle2	140	normal	medium	average	True Sample
B56-01	B56-01	B56	phase2	slow	slow2	early	early2	60	normal	high	average	True Sample
B56-25	B56-25	B56	phase2	slow	slow2	middle 	middle2 	90	normal	high	average	True Sample
B56-37	B56-37	B56	phase2	medium	medium2	late	late2	110	normal	high	average	True Sample
medium7	medium7	NA	neg	control1	control1	control1	control1	NA	normal	control	control	Control Sample
standard4	standard4	NA	pos	control	control	control	control	NA	normal	control	control	True Sample
